,isc_imp_ratio_mean,isc_imp_ratio_median,isc_imp_ratio_std,beta_voc_beta_vmp_ratio_mean,beta_voc_beta_vmp_ratio_median,beta_voc_beta_vmp_ratio_std,voc_cell_mean,voc_cell_median,voc_cell_std,diode_factor_mean,diode_factor_median,diode_factor_std,photocurrent_imp_ratio_mean,photocurrent_imp_ratio_median,photocurrent_imp_ratio_std,alpha_isc_to_isc_ratio_mean,alpha_isc_to_isc_ratio_median,alpha_isc_to_isc_ratio_std,photocurrent_mean,photocurrent_median,photocurrent_std,photocurrent_cell_area_eff_ratio_mean,photocurrent_cell_area_eff_ratio_median,photocurrent_cell_area_eff_ratio_std,voc_vmp_ratio_mean,voc_vmp_ratio_median,voc_vmp_ratio_std,resistance_series_mean,resistance_series_median,resistance_series_std,conductance_shunt_mean,conductance_shunt_median,conductance_shunt_std
Multi-c-Si,1.0699135787527263,1.0660847880299253,0.021230290607610555,0.9782579114165342,0.9780530666622508,0.00643644464782663,0.6207941068112764,0.6222222222222222,0.029015249307120954,1.0229594245606348,1.0225452030218207,0.060435431608689465,1.0746167586063207,1.0685892207792207,0.019798228059837664,0.0005864523754010862,0.0005606484418203782,0.00024162553563906856,8.646131565903216,8.632369,0.5509461209956473,2.146000017786097,2.135699383460304,0.1239591421974268,1.2365223483476515,1.2370129870129871,0.023597380741091474,0.3309886867480617,0.33076700000000003,0.1045157887173656,0.004329863147275334,0.0026836410037394875,0.005074028120594692
Mono-c-Si,1.0671785412770871,1.0647820965842165,0.019065309572042676,0.9768254239046427,0.9774473587687074,0.009376923774994364,0.6327717834732666,0.6305555555555555,0.049819614090621675,1.029537190437867,1.0279844802057778,0.08814847158134123,1.0723051517913444,1.0673010663507112,0.01681119042224047,0.0005022410194560715,0.0004976304930342573,0.0002508957771559624,8.397759062930591,8.812087,1.4836649231617614,2.0965183551763307,2.0985222077073806,0.1366576457579819,1.230866745147029,1.2311827956989245,0.022305596367148316,0.35989707146529565,0.32818400000000003,0.1503976612108762,0.0035486670466305173,0.0024498169932810044,0.003735356655345436
Thin Film,1.158663685900219,1.142857142857143,0.06051580676847586,0.9594252453485964,0.9574774521249468,0.026133274620576994,0.7477344670083659,0.6277777777777778,0.36608504619291093,1.0891515236168812,0.9214439028607867,0.5749847251474172,1.1813401654607967,1.1597956331877728,0.0768927071247043,0.00039741211251133725,0.0002959803805327944,0.0004019098518673617,3.441716918003565,2.347423,2.4704806268267387,2.372328088222388,2.3460738925163236,0.799920315103026,1.3069503474012514,1.3016949152542372,0.05165599194475872,6.174655654188948,4.566184,6.352046364193241,0.010310218988075824,0.003249217715093696,0.031655180163404364
CIGS,1.1566217151572733,1.1547928976222277,0.02337039273725124,0.9757373267198366,0.9747271070286425,0.022392814680532464,0.4972842261904762,0.496577380952381,0.17807634773130862,0.7197110756474172,0.7210935340881195,0.15937444216008395,1.1706462692015707,1.1684577619058398,0.026724204416265447,-8.422066533574996e-05,-8.396007822064858e-05,1.6035750508190356e-05,9.513555625,9.5143275,0.03137471348047891,2.1756585233364305,2.1756585233364305,,1.2583291018540534,1.2577609277430866,0.010029231096748586,0.66924375,0.668811,0.2283072055572428,0.019196065870171513,0.017074589349752634,0.006335127165919894
CdTe,1.0962996330688608,1.0956521739130436,0.012179442889760118,0.9797816054754396,0.9795977930624542,0.00144483607436277,0.8227840909090908,0.8234848484848485,0.006371931775167364,1.0949601271176865,1.093374415526868,0.012176105155588394,1.1015249105470803,1.1006739130434784,0.014005982739608923,0.0005573603056215652,0.0005573146762868481,1.0368031317332563e-05,2.5329439500000004,2.533137,0.015633586548383285,,,,1.2188176469944012,1.2192933258553,0.012794516154246448,6.7090711999999995,6.751246500000001,0.9192213501030783,0.0006883283360012069,0.0006817749170835852,0.0001514799465293313
